sentence	target
- Widzi pani , a Blokowa wzięła i się nie zastanawiała , i ma , i może robić , co chce .	noEntity
W robieniu pompek Agata wypadła słabo .	persName
- Niemcy ukryli .	placeName
W Narzędziowni pracuje obecnie 258 osób .	geogName
Po artykule na jego temat w lokalnym dwutygodniku " Wiadomości Wąbrzeskie " dotarli do niego nauczyciele z pobliskiej szkoły podstawowej , ale nie z propozycją spotkań z młodzieżą , nawiązania współpracy , a z prośbą zrobienia szopki bożonarodzeniowej , gdyż przygotowują jasełka .	placeName
SLD powinien porzucić postawę pragmatyczną i walczyć o program lewicowy .	orgName
Pojawiła się ona i zaiskrzyło .	noEntity
Czy na stojąco , czy na wznak ?	noEntity
mówił em ci już nie .	noEntity
– a ona bziu i poszła	noEntity
Zamiast prowadzić kancelarię w odrestaurowanej kamienicy w dobrym punkcie stolicy Niemiec , zapewne był by dziś inżynierem w Katowicach .	placeName
Jeśli jest zameldowany u mamusi , musi uwzględnić to we wniosku , bo jak poda namiary plebanii , wniosek zostanie odrzucony .	noEntity
Kiedy była długo bez angażu , na bezrobociu , zakręcała w swoim maleńkim mieszkanku paryskim ogrzewanie .	placeName
Udaje , że strzela do Onka z palca , jak z pistoletu .	persName
W ten sposób powstało wcześniej nieznane jądro atomowe o 93 protonach , które nazwano neptunem , tak jak planetę za Uranem .	geogName
Z relacji naocznych świadków wynika , że około godz . 19 został w czasie wspólnej zabawy z rówieśnikami dość mocno trafiony piłką w klatkę piersiową .	time
PPP jest głęboko patriotyczna i tego się nie wstydzimy .	orgName
– a co to właśnie co co tu się pieprzy u ciebie z tym ?	noEntity
– już by śta jakoś inaczej mówili bo ten Jutek to chocioż ładnie nazwoł te szafy a wy mówi . no . .	persName
Prowadzony niedawno przed wrocławskim sądem proces trzech gangsterów , oskarżonych o wymuszenia finansowe i pobicia , wydawał się z góry przesądzony .	placeName
Kierownictwo Telewizji postanowiło zachować się dialektycznie , okazując ideologiczną pryncypialność , ale i liberalizm zarazem , żadnych tam tajnych cenzorskich zapisów , jesteśmy otwarci na wszelkie propozycje , pod warunkiem jednakowoż z drugiej strony , że nie zostaną przekroczone granice , ale kto je wyznacza ?	orgName
- Takich lokalnych uzgodnień między UW i AWS było znacznie więcej .	orgName
